Version,6/24/2026
Primary contact Great Plains BCG,Jen Stamp <Jen.Stamp@tetratech.com>
,
Taxon,taxon name (post-translation)
NonTarget,FALSE = target (ok to include in calculations). TRUE = nontarget (not appropriate to include in the Great Plains BCG calculation)
BCG_Attr_roman,"Great Plains Biological Condition Gradient (BCG) taxa attribute assignments in Roman numeral format. II = highly sensitive; III = sensitive ubiquitous; IV = moderately tolerant; V = highly tolerant; VIm = nonnative, moderately tolerant"
BCG_Attr,"Great Plains Biological Condition Gradient (BCG) taxa attribute assignments (2, 3, 4, 5, 6m). 2 = highly sensitive; 3 = sensitive ubiquitous; 4 = moderately tolerant; 5 = highly tolerant; 6m = nonnative, moderately tolerant"
BCG_Attr2,"Great Plains BCG attribute IV sub-level: 4_better, 4_middle, 4_worse"
FFG,"Great Plains BCG Functional Feeding Group: collector-gatherer (CG), collector-filterer (CF), predator (PR), scraper (SC), shredder (SH), macrophyte herbivore (MH), omnivore (OM), parasite (PA), piercer-herbivore (PH), xylophage (XY). Multiple entries are allowed and are separated with a comma"
Habit,"Great Plains BCG Habit: burrowers (BU), climbers (CB), clingers (CN), sprawlers (SP), swimmers (SW). Multiple entries are allowed and are separated with a comma"
HABSTRUCT,"Great Plains BCG. Habitat structure (abbreviated). Taxa that show a strong association with a particular habitat structure: CS = coarse substrate, RM = root mat, NF = pool, SG = snag. Based on an analysis of Missouri data. For more information, contact Randy Sarver (randy.sarver@dnr.mo.gov)"
LIFE_CYCLE,"Great Plains BCG: Number of broods or generations of an organism in a year (also referred to as 'voltinism'): univoltine (UNI), semivoltine (SEMI), or multivoltine (MULTI). Multiple entries are allowed and are separated with a comma"
AirBreather,"Great Plains BCG. TRUE = air breather, which include: Hemiptera (all families); Coleoptera - all adults other than Elmidae ande Dryopidae, and larvae of Dystiscidae, Hydrophilidae, Hydraenidae, Heteroceridae; Gyrinidae; Haliplidae; Scirtidae; Diptera (Culicidae larvae, Ptychopteridae larvae, Chaoboridae larvae (except Chaoborus sp.), Stratiomyidae, Dolichopodidae and Syrphidae"
LargeRiver,"TRUE = taxa associated with large rivers. Source: Robert W. Wisseman, November 2025"
Rank,level of taxonomic resolution
Taxon_Group,"major taxonomic groups - Other Non-Insect, Oligochaeta, Terrestrial, Coleoptera, Diptera, Chironomidae, Ephemeroptera, Heteroptera, Hemiptera, Lepidoptera, Megaloptera, Neuroptera, Odonata, Plecoptera, Trichoptera, Fish"
Ins,"Ins = Insect, NonIns = Non insect"
Kingdom,taxonomic hierarchy
Phylum,taxonomic hierarchy
SubPhylum,taxonomic hierarchy
Class,taxonomic hierarchy
SubClass,taxonomic hierarchy
Order,taxonomic hierarchy
SubOrder,taxonomic hierarchy
SuperFamily,taxonomic hierarchy
Family,taxonomic hierarchy
SubFamily,taxonomic hierarchy
Tribe,taxonomic hierarchy
Genus,taxonomic hierarchy
Species,taxonomic hierarchy
OCC_RefNum,OCC reference number
OCC_NotUsedForEPT,OCC carry-over
OWRB_TOLVAL,"OWRB tolerance value, from 0 (most intolerant) to 10 (most tolerant)"
OCC_HBI_score,OCC Hilsenhoff Biotic Index (HBI) tolerance value
OWRB_FFG,OWRB FFG assignment
OCC_FFG,OCC FFG assignment
OWRB_Habit,OWRB Habit assignment
OWRB_LIFE_CYCLE,OWRB Life Cycle assignment
